Pathways,Common-Name,Compounds of pathway,Kegg,Genes of pathway,Enzymes of pathway,Common-Name
GLUTAMINDEG-PWY,L-glutamine degradation I,PROTON // AMMONIA // GLT // GLN // WATER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00014'>C00014</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00064'>C00064</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,G1G01-1105 // G1G01-1707 // G1G01-321 // G1G01-324 // G1G01-1005 // G1G01-1004 // G1G01-1006 // G1G01-454 // G1G01-456 // G1G01-5419 // G1G01-5420 // G1G01-5049 // G1G01-5050 // G1G01-1851 // G1G01-2490 // G1G01-2623,G1G01-1105-MONOMER // G1G01-1707-MONOMER // CPLX1G01-76 // CPLX1G01-77 // CPLX1G01-153 // CPLX1G01-79 // CPLX1G01-78 // G1G01-1851-MONOMER // G1G01-2490-MONOMER // G1G01-2623-MONOMER,glutamine-hydrolyzing GMP synthase // CTP synthase // imidazole glycerol phosphate synthase // aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase // anthranilate synthase complex // L-glutamate synthase // carbamoyl-phosphate synthase // asparagine synthetase // aminodeoxychorismate synthase/para-aminobenzoate synthase // glutaminase-asparaginase
GLYSYN-THR-PWY,glycine biosynthesis IV,GLY // ACETALD // THR,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00037'>C00037</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00084'>C00084</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00188'>C00188</a>,G1G01-354,G1G01-354-MONOMER,low specificity l-threonine aldolase
PWY66-21,ethanol degradation II,ETOH // PROTON // NADH // ACETALD // WATER // NAD // AMP // PPI // ACETYL-COA // CO-A // ACET // ATP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00469'>C00469</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00084'>C00084</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00024'>C00024</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00033'>C00033</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,G1G01-2668 // G1G01-2861 // G1G01-595 // G1G01-2662 // G1G01-5023 // G1G01-4789,G1G01-2668-MONOMER // G1G01-2861-MONOMER // G1G01-595-MONOMER // CPLX1G01-151 // G1G01-5023-MONOMER // G1G01-4789-MONOMER,NAD(P)-dependent alcohol dehydrogenase // aldehyde dehydrogenase // acetyl-CoA synthetase // acyl-CoA synthetase
PROSYN-PWY,L-proline biosynthesis I,WATER // NADH-P-OR-NOP // L-DELTA1-PYRROLINE_5-CARBOXYLATE // PRO // NAD-P-OR-NOP // PROTON // NADPH // L-GLUTAMATE_GAMMA-SEMIALDEHYDE // Pi // NADP // ADP // L-GLUTAMATE-5-P // GLT // ATP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03912'>C03912</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00148'>C00148</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01165'>C01165</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03287'>C03287</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,G1G01-5439 // G1G01-4032 // G1G01-5148 // G1G01-763,G1G01-5439-MONOMER // G1G01-4032-MONOMER // G1G01-5148-MONOMER // G1G01-763-MONOMER,pyrroline-5-carboxylate reductase // gamma-glutamyl phosphate reductase // glutamate 5-kinase
PWY-5417,catechol degradation III (ortho-cleavage pathway),CATECHOL // OXYGEN-MOLECULE // CIS-CIS-MUCONATE // CPD-15124 // PROTON // WATER // 3-OXOADIPATE-ENOL-LACTONE // SUC // 3-KETO-ADIPATE // CO-A // 3-KETO-ADIPYL-COA // SUC-COA // ACETYL-COA,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00090'>C00090</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02480'>C02480</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C14610'>C14610</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03586'>C03586</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00042'>C00042</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00846'>C00846</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02232'>C02232</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00091'>C00091</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00024'>C00024</a>,G1G01-3966 // G1G01-3386 // G1G01-3968 // G1G01-3967 // G1G01-1470 // G1G01-3338 // G1G01-3339 // G1G01-4216 // G1G01-4217 // G1G01-3509 // G1G01-1467,G1G01-3966-MONOMER // G1G01-3386-MONOMER // G1G01-3968-MONOMER // G1G01-3967-MONOMER // G1G01-1470-MONOMER // CPLX1G01-73 // CPLX1G01-88 // G1G01-3509-MONOMER // G1G01-1467-MONOMER,"catechol 1,2-dioxygenase // muconate cycloisomerase 1 // muconolactone delta-isomerase // 3-oxoadipate enol-lactonase // 3-oxoacid CoA-transferase // 3-oxoadipate CoA-transferase // 3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase // beta-ketoadipyl-CoA thiolase"
GLUTSYNIII-PWY,L-glutamate biosynthesis III,NADPH // 2-KETOGLUTARATE // AMMONIUM // PROTON // GLT // WATER // NADP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00026'>C00026</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a>,G1G01-747,G1G01-747-MONOMER,NADP-dependent glutamate dehydrogenase
PWY-7194,pyrimidine nucleobases salvage II,AMMONIUM // CYTOSINE // WATER // PROTON // URACIL // PRPP // PPI // UMP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00380'>C00380</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00106'>C00106</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00119'>C00119</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00105'>C00105</a>,G1G01-3410 // G1G01-5342 // G1G01-821,G1G01-3410-MONOMER // G1G01-5342-MONOMER // G1G01-821-MONOMER,cytosine deaminase/isoguanine deaminase // pyrimidine operon regulatory protein/uracil phosphoribosyltransferase // uracil phosphoribosyltransferase
PWY-6617,adenosine nucleotides degradation III,ADENINE // CPD-15317 // AMP // WATER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00147'>C00147</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,G1G01-5116,G1G01-5116-MONOMER,AMP nucleosidase
PWY-5436,L-threonine degradation IV,GLY // THR // PROTON // NADH // ACETYL-COA // ACETALD // CO-A // NAD,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00037'>C00037</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00188'>C00188</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00024'>C00024</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00084'>C00084</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a>,G1G01-354,G1G01-354-MONOMER,low specificity l-threonine aldolase
PWY-5489,methyl parathion degradation,PROTON // CPD-8974 // P-NITROPHENOL // CPD-8973 // WATER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00870'>C00870</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C14228'>C14228</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,G1G01-4353,G1G01-4353-MONOMER,phosphotriesterase
PWY-7883,peptidoglycan recycling II,CPD0-882 // N-acetyl-D-glucosamine // CPD0-1081 // CPD0-1080 // D-ALANINE // CPD0-1082 // UDP-AAGM-DIAMINOHEPTANEDIOATE // L-ALA-GAMMA-D-GLU-DAP // CPD0-881 // WATER // ADP // NACMUR // ATP // Pi // UDP-N-ACETYLMURAMATE // UDP // CPD0-1643 // PROTON,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19769'>C19769</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00140'>C00140</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00133'>C00133</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04877'>C04877</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20925'>C20925</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16698'>C16698</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> //  // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01050'>C01050</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00015'>C00015</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a>,G1G01-470 // G1G01-2286 // G1G01-5239 // G1G01-863 // G1G01-136 // G1G01-2420 // G1G01-5136 // G1G01-597 // G1G01-1865 // G1G01-442 // G1G01-443,G1G01-470-MONOMER // G1G01-2286-MONOMER // G1G01-5239-MONOMER // G1G01-863-MONOMER // G1G01-136-MONOMER // G1G01-2420-MONOMER // G1G01-5136-MONOMER // G1G01-597-MONOMER // G1G01-1865-MONOMER // G1G01-442-MONOMER // G1G01-443-MONOMER,"anhydro-N-acetylmuramic acid kinase // beta-N-acetylglucosaminidase // N-acetylmuramoyl-L-alanine amidase // N-acetyl-anhydromuramyl-L-alanine-amidase // 1,6-anhydro-N-acetylmuramyl-L-alanine amidase // muramoyltetrapeptide carboxypeptidase // UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl- meso-diaminopimelate ligase // <i>N</i>-acetyl-&beta;-muramate 6-phosphate phosphatase // <i>N</i>-acetyl-D-muramate 1-kinase // <i>N</i>-acetyl-&alpha;-D-muramate 1-phosphate uridylyltransferase"
PWY-40,putrescine biosynthesis I,CARBON-DIOXIDE // PROTON // ARG // PUTRESCINE // UREA // WATER // AGMATHINE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00062'>C00062</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00134'>C00134</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00086'>C00086</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00179'>C00179</a>,G1G01-617 // G1G01-2337 // G1G01-4826,G1G01-617-MONOMER // G1G01-2337-MONOMER // G1G01-4826-MONOMER,biosynthetic arginine decarboxylase // agmatinase
PWY-1881,formate oxidation to CO<sub>2</sub>,NADH // CARBON-DIOXIDE // FORMATE // NAD,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00058'>C00058</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a>,G1G01-2324 // G1G01-2326 // G1G01-2325 // G1G01-2327 // G1G01-536 // G1G01-538 // G1G01-539,CPLX1G01-156 // CPLX1G01-70,formate dehydrogenase 2 // formate dehydrogenase 1
FAO-PWY,fatty acid &beta;-oxidation I,NADH // NAD // 3-KETOACYL-COA // ACETYL-COA // D-3-HYDROXYACYL-COA // AMP // PPI // CPD66-39 // CO-A // ATP // ETF-Reduced // Saturated-Fatty-Acyl-CoA // ETF-Oxidized // PROTON // CIS-DELTA3-ENOYL-COA // WATER // TRANS-D2-ENOYL-COA // L-3-HYDROXYACYL-COA,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00264'>C00264</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00024'>C00024</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01086'>C01086</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04253'>C04253</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05057'>C05057</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00658'>C00658</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00640'>C00640</a>,G1G01-2355 // G1G01-4007 // G1G01-2188 // G1G01-2278 // G1G01-2354 // G1G01-3692 // G1G01-3977 // G1G01-2003 // G1G01-2185 // G1G01-4295 // G1G01-3985 // G1G01-3979 // G1G01-1950 // G1G01-2358 // G1G01-2277,G1G01-2355-MONOMER // G1G01-4007-MONOMER // G1G01-2188-MONOMER // CPLX-9269 // G1G01-2354-MONOMER // G1G01-3692-MONOMER // G1G01-3977-MONOMER // G1G01-2003-MONOMER // G1G01-2185-MONOMER // G1G01-4295-MONOMER // G1G01-3985-MONOMER // G1G01-3979-MONOMER // G1G01-1950-MONOMER // G1G01-2358-MONOMER // CPLX-9268,"type II 3-hydroxyacyl-CoA dehydrogenase // &beta;-ketothiolase BktB // 3-ketoacyl-CoA thiolase // fatty acid oxidation complex, &beta; component // acyl-CoA synthetase // medium-long chain acyl-CoA dehydrogenase // acyl-CoA dehydrogenase // enoyl-CoA hydratase/isomerase family protein // enoyl-CoA hydratase // fatty acid oxidation complex, &alpha; component"
PWY-4381,fatty acid biosynthesis initiation (bacteria and plants),ACP // CARBON-DIOXIDE // CO-A // Acetoacetyl-ACPs // MALONYL-ACP // PROTON // biotin-L-lysine-in-BCCP-dimers // MALONYL-COA // ACETYL-COA // carboxybiotin-L-lysine-in-BCCP-dimers,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00229'>C00229</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01209'>C01209</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00083'>C00083</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00024'>C00024</a>,G1G01-2025 // G1G01-4657 // G1G01-1704 // G1G01-2126,G1G01-2025-MONOMER // G1G01-4657-MONOMER // CPLX1G01-81,malonyl-CoA-ACP transacylase // 3-oxoacyl-ACP synthase // acetyl-CoA carboxylase carboxyltransferase
ARGSYN-PWY,L-arginine biosynthesis I (via L-ornithine),AMMONIA // CARBAMATE // CPD-18238 // AMP // PPI // L-ASPARTATE // FUM // ARG // L-ARGININO-SUCCINATE // L-CITRULLINE // CARBAMOYL-P // GLN // HCO3 // CO-A // ACETYL-COA // ADP // ACETYL-GLU // ATP // NADPH // N-ACETYL-GLUTAMYL-P // PROTON // NADP // Pi // CPD-469 // GLT // 2-KETOGLUTARATE // ACET // L-ORNITHINE // N-ALPHA-ACETYLORNITHINE // WATER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00014'>C00014</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01563'>C01563</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20969'>C20969</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00049'>C00049</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00122'>C00122</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00062'>C00062</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03406'>C03406</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00327'>C00327</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00169'>C00169</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00064'>C00064</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00288'>C00288</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00024'>C00024</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00624'>C00624</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04133'>C04133</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01250'>C01250</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00026'>C00026</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00033'>C00033</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00077'>C00077</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00437'>C00437</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,G1G01-1161 // G1G01-202 // G1G01-1152 // G1G01-1073 // G1G01-5049 // G1G01-5050 // G1G01-5531 // G1G01-1434 // G1G01-5646 // G1G01-3871 // G1G01-468 // G1G01-4782 // G1G01-407 // G1G01-5532 // G1G01-3808,G1G01-1161-MONOMER // G1G01-202-MONOMER // G1G01-1152-MONOMER // G1G01-1073-MONOMER // CPLX1G01-78 // G1G01-5531-MONOMER // G1G01-1434-MONOMER // G1G01-5646-MONOMER // G1G01-3871-MONOMER // G1G01-468-MONOMER // G1G01-4782-MONOMER // G1G01-407-MONOMER // G1G01-5532-MONOMER // G1G01-3808-MONOMER,argininosuccinate synthase // argininosuccinate lyase // ornithine carbamoyltransferase // carbamoyl-phosphate synthase // amino acid N-acetyltransferase // glutamate N-acetyltransferase/amino acid acetyltransferase // acetylglutamate kinase // ArgC-like N-acetyl-gamma-glutamyl-phosphate reductase // N-acetyl-gamma-glutamyl-phosphate reductase // acetylornithine aminotransferase // acetylornithine deacetylase
PWY-3161,indole-3-acetate biosynthesis III (bacteria),CARBON-DIOXIDE // OXYGEN-MOLECULE // TRP // AMMONIUM // INDOLE_ACETATE_AUXIN // CPD-237 // WATER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00078'>C00078</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00954'>C00954</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02693'>C02693</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,G1G01-418 // G1G01-4047 // G1G01-3110 // G1G01-670,G1G01-418-MONOMER // G1G01-4047-MONOMER // G1G01-3110-MONOMER // G1G01-670-MONOMER,lysine 2-monooxygenase // protease/amidase // amidase family protein
AMMASSIM-PWY,ammonia assimilation cycle III,WATER // AMMONIA // Pi // ADP // AMMONIUM // ATP // NADPH // 2-KETOGLUTARATE // GLN // PROTON // GLT // NADP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00014'>C00014</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00026'>C00026</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00064'>C00064</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a>,G1G01-5391 // G1G01-4855 // G1G01-4677 // G1G01-3367 // G1G01-5419 // G1G01-5420,G1G01-5391-MONOMER // G1G01-4855-MONOMER // G1G01-4677-MONOMER // G1G01-3367-MONOMER // CPLX1G01-79,glutamine synthetase // L-glutamate synthase
PWY-6823,molybdenum cofactor biosynthesis,CH33ADO // MET // S-ADENOSYLMETHIONINE // GTP // CPD-4 // WATER // CPD-15870 // CPD-8122 // CPD-3 // MPT-Synthase-small-subunits // ATP // PROTON // Acceptor // AMP // MOCS3-Cysteine // Thiocarboxylated-MPT-synthases // Carboxyadenylated-MPT-synthases // MOCS3-Cysteine-Persulfide // Donor-H2 // L-ALPHA-ALANINE // L-Cysteine-Desulfurase-persulfide // Cysteine-Desulfurase-L-cysteine // CYS // PPI // PRECURSOR-Z // CPD-19179,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05198'>C05198</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00073'>C00073</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00019'>C00019</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00044'>C00044</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05924'>C05924</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18237'>C18237</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19848'>C19848</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06232'>C06232</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00028'>C00028</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00030'>C00030</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00041'>C00041</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00097'>C00097</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21310'>C21310</a>,G1G01-1380 // G1G01-1381 // G1G01-2263 // G1G01-2264 // G1G01-810 // G1G01-2600 // G1G01-1620 // G1G01-917 // G1G01-4905,CPLX1G01-118 // G1G01-2263-MONOMER // G1G01-2264-MONOMER // G1G01-810-MONOMER // G1G01-2600-MONOMER // G1G01-1620-MONOMER // G1G01-917-MONOMER // G1G01-4905-MONOMER,molybdopterin synthase // molybdenum cofactor biosynthesis protein B // molybdenum::molybdopterin ligase // molybdopterin synthase adenylyltransferase subunit // cysteine desulfurase // cyclic pyranopterin monophosphate synthase
